"POLICYNUMBER","JOBNUMBER","POLICYCREATETIME","JOBCREATETIME","JOBUPDATETIME","RESCINDNOTIFICATIONDATE","CANCELPROCESSDATE","POLICYEFFECTIVEDATE","POLICYEXPIRYDATE","CANCELLATIONDATE","TYPECODE","POLICYSTATUS"
"1004245794","13336377",11-09-24 03:33:26.728000000,14-09-11 08:31:35.259000000,14-09-11 08:42:01.422000000,14-09-11 08:42:00.567000000,14-10-01 00:01:00.000000000,"2013/11/22","2014/11/22",14-09-21 00:01:00.000000000,"Cancellation","Rescinded"
"1009184222","45350276",11-09-13 07:06:37.423000000,14-07-23 11:01:29.259000000,14-07-23 11:58:34.765000000,14-07-23 11:58:33.674000000,14-08-12 00:01:00.000000000,"2013/11/09","2014/11/09",14-08-01 00:01:00.000000000,"Cancellation","Rescinded"
"1009172920","10471057",11-09-10 04:42:26.637000000,13-09-26 08:00:33.699000000,13-09-26 08:26:08.863000000,13-09-26 08:26:08.111000000,13-10-16 00:01:00.000000000,"2012/11/08","2013/11/08",13-10-09 00:01:00.000000000,"Cancellation","Rescinded"
"1005376090","76193391",11-10-18 07:45:15.714000000,13-06-06 13:01:05.031000000,13-06-06 13:43:56.992000000,13-06-06 13:43:55.669000000,13-06-26 00:01:00.000000000,"2012/12/16","2013/12/16",13-04-27 00:01:00.000000000,"Cancellation","Rescinded"
"4000114524","110599513",13-05-22 11:12:02.161000000,13-06-03 15:01:42.700000000,13-06-03 15:25:32.789000000,13-06-03 15:25:31.773000000,13-06-23 00:01:00.000000000,"2013/05/22","2014/05/22",13-06-22 00:01:00.000000000,"Cancellation","Rescinded"
"1308518497","9588481",16-04-19 04:39:30.968000000,16-10-13 08:31:36.563000000,16-10-13 08:45:10.449000000,16-10-13 08:45:10.349000000,16-11-02 00:01:00.000000000,"2016/06/16","2017/06/16",16-10-04 00:01:00.000000000,"Cancellation","Rescinded"
"4000405707","92901885",16-05-12 15:27:21.282000000,16-09-23 13:01:16.093000000,16-09-23 13:24:45.504000000,16-09-23 13:24:44.606000000,16-10-13 00:01:00.000000000,"2016/06/15","2017/06/15",16-10-05 00:01:00.000000000,"Cancellation","Rescinded"
"1005896086","2404128",11-12-02 05:24:21.427000000,13-01-17 05:35:50.728000000,13-02-19 13:59:00.766000000,13-01-17 05:36:04.212000000,13-02-06 00:01:00.000000000,"2012/01/30","2013/01/30",12-11-30 00:01:00.000000000,"Cancellation","Rescinded"
"1001228321","137031366",11-04-05 02:00:05.358000000,16-10-25 14:30:11.718000000,16-10-25 14:43:32.331000000,16-10-25 14:43:32.002000000,16-11-14 00:01:00.000000000,"2016/06/01","2016/12/01",16-11-14 00:01:00.000000000,"Cancellation","Rescinded"
"1009181948","84390232",12-08-04 04:50:59.251000000,13-01-29 15:00:25.434000000,13-02-19 14:03:12.499000000,13-01-29 15:00:27.045000000,13-02-18 00:01:00.000000000,"2012/10/02","2013/10/02",12-12-02 00:01:00.000000000,"Cancellation","Rescinded"
"1005472253","17047167",12-08-02 06:41:04.247000000,13-01-21 08:19:05.967000000,13-02-19 13:55:29.877000000,13-01-21 08:19:07.761000000,13-02-10 00:01:00.000000000,"2012/09/30","2013/09/30",12-12-30 00:01:00.000000000,"Cancellation","Rescinded"
"4000069676","16699141",11-09-16 17:17:11.365000000,13-01-14 09:31:56.255000000,13-02-19 14:06:26.562000000,13-01-14 09:31:59.634000000,13-02-03 00:01:00.000000000,"2012/08/29","2013/08/29",12-12-29 00:01:00.000000000,"Cancellation","Rescinded"
