"ACCOUNTNUMBER","POLICYNUMBER","PRODUCERCODE","COMPANY","POLICYEFFECTIVEDATE","POLICYEXPIRYDATE","TERMNUMBER","LOCATIONPROVINCE","BUILDINGNUM","RISKTYPE","EVALUATIONSOURCE","REPLACEMENTCOST_CG","JOBTYPE"
"3940876874","1057940570","91234","CGIC","20130921","20140921",1,"SK",1,"Farm Structure","None",6100,"Policy Change"
"3940876874","1057940570","91234","CGIC","20130921","20140921",1,"SK",8,"Farm Structure","None",6900,"Policy Change"
"3940876874","1057940570","91234","CGIC","20130921","20140921",1,"SK",12,"Farm Structure","None",1300,"Policy Change"
"5887416815","1058816284","12144","CGIC","20130924","20140924",2,"AB",3,"Farm Structure","None",8500,"Policy Change"
"5887416815","1058816284","12144","CGIC","20130924","20140924",2,"AB",4,"Farm Structure","None",5800,"Policy Change"
"5887416815","1058816284","12144","CGIC","20130924","20140924",2,"AB",2,"Farm Structure","None",5800,"Policy Change"
"7905788647","1058794429","91377","CGIC","20130930","20140930",1,"SK",6,"Farm Structure","None",4200,"Renewal"
"7905788647","1058794429","91377","CGIC","20130930","20140930",1,"SK",3,"Farm Structure","None",3300,"Renewal"
"7905788647","1058794429","91377","CGIC","20130930","20140930",1,"SK",5,"Farm Structure","None",6400,"Renewal"
"7119797062","1058799460","31193","CGIC","20131003","20141003",1,"MB",1,"Farm Structure","Other",9400,"Policy Change"
"7070085383","1058715795","71567","CGIC","20131004","20141004",1,"ON",1,"Farm Structure","None",2000,"Renewal"
"7070085383","1058715795","71567","CGIC","20131004","20141004",1,"ON",3,"Farm Structure","None",8000,"Renewal"
"8447500900","1053621566","91235","CGIC","20131010","20141010",2,"SK",4,"Farm Structure","Other",8200,"Renewal"
"2775437709","1059418084","72467","CGIC","20131020","20141020",1,"ON",1,"Farm Structure","None",7000,"Renewal"
"7979071641","1059189558","91501","CGIC","20131024","20141024",1,"SK",3,"Farm Structure","None",8400,"Policy Change"
"7979071641","1059189558","91501","CGIC","20131024","20141024",1,"SK",5,"Farm Structure","Other",4500,"Policy Change"
"7979071641","1059189558","91501","CGIC","20131024","20141024",1,"SK",6,"Farm Structure","Other",3000,"Policy Change"
"0917815302","1053495170","92069","CGIC","20131030","20141030",1,"SK",1,"Farm Structure","None",3700,"Renewal"
"0917815302","1053495170","92069","CGIC","20131030","20141030",1,"SK",3,"Farm Structure","None",6900,"Renewal"
"0917815302","1053495170","92069","CGIC","20131030","20141030",1,"SK",4,"Farm Structure","None",9800,"Renewal"
"2012231756","1058819036","91377","CGIC","20131110","20141110",1,"SK",6,"Farm Structure","Other",4600,"Renewal"
"2012231756","1058819036","91377","CGIC","20131110","20141110",1,"SK",2,"Farm Structure","Other",4600,"Renewal"
"2012231756","1058819036","91377","CGIC","20131110","20141110",1,"SK",1,"Farm Structure","Other",6900,"Renewal"
"0105259439","1057933864","31019","CGIC","20131112","20141112",1,"MB",1,"Farm Structure","None",4200,"Policy Change"
"0105259439","1057933864","31019","CGIC","20131112","20141112",1,"MB",2,"Farm Structure","None",700,"Policy Change"
"0105259439","1057933864","31019","CGIC","20131112","20141112",1,"MB",3,"Farm Structure","None",1300,"Policy Change"
"0860183683","1059420473","72062","CGIC","20131124","20141124",1,"ON",2,"Farm Structure","None",2000,"Renewal"
"7984430194","1059759759","71988","CGIC","20131205","20141205",1,"ON",6,"Farm Structure","None",1000,"Renewal"
"7984430194","1059759759","71988","CGIC","20131205","20141205",1,"ON",1,"Farm Structure","None",5000,"Renewal"
"2824988410","1058717390","71408","CGIC","20131209","20141209",2,"ON",1,"Farm Structure","None",5000,"Policy Change"
"2824988410","1058717390","71408","CGIC","20131209","20141209",2,"ON",3,"Farm Structure","None",7000,"Policy Change"
"2824988410","1058717390","71408","CGIC","20131209","20141209",2,"ON",7,"Farm Structure","None",2000,"Policy Change"
"2824988410","1058717390","71408","CGIC","20131209","20141209",2,"ON",8,"Farm Structure","None",9000,"Policy Change"
"8323857797","1058782204","92022","CGIC","20131219","20141219",1,"SK",3,"Farm Structure","Other",6900,"Renewal"
"8323857797","1058782204","92022","CGIC","20131219","20141219",1,"SK",1,"Farm Structure","Other",1300,"Renewal"
"8113178225","1053284222","90809","CGIC","20131230","20141230",2,"SK",1,"Farm Structure","None",6800,"Policy Change"
"4187618156","1058715808","72117","CGIC","20140107","20150107",1,"ON",1,"Farm Structure","None",8000,"Renewal"
"8949277534","4000163181","90807","CGIC","20140109","20150109",1,"SK",1,"Farm Structure","None",5500,"Submission"
"8268462653","4000093873","71809","CGIC","20140118","20150118",2,"ON",12,"Farm Structure","None",3200,"Policy Change"
"7590760119","1058778455","92003","CGIC","20140123","20150123",1,"SK",15,"Farm Structure","None",9700,"Policy Change"
"7590760119","1058778455","92003","CGIC","20140123","20150123",1,"SK",3,"Farm Structure","None",8300,"Policy Change"
"7590760119","1058778455","92003","CGIC","20140123","20150123",1,"SK",1,"Farm Structure","None",1300,"Policy Change"
"7590760119","1058778455","92003","CGIC","20140123","20150123",1,"SK",2,"Farm Structure","None",2100,"Policy Change"
"7590760119","1058778455","92003","CGIC","20140123","20150123",1,"SK",13,"Farm Structure","None",8700,"Policy Change"
"7590760119","1058778455","92003","CGIC","20140123","20150123",1,"SK",14,"Farm Structure","None",7700,"Policy Change"
"7590760119","1058778455","92003","CGIC","20140123","20150123",1,"SK",10,"Farm Structure","None",8800,"Policy Change"
"7594422285","1058778466","91805","CGIC","20140126","20150126",2,"SK",10,"Farm Structure","Other",6800,"Renewal"
"7594422285","1058778466","91805","CGIC","20140126","20150126",2,"SK",5,"Farm Structure","Other",6800,"Renewal"
"7594422285","1058778466","91805","CGIC","20140126","20150126",2,"SK",4,"Farm Structure","Other",2800,"Renewal"
"7594422285","1058778466","91805","CGIC","20140126","20150126",2,"SK",1,"Farm Structure","Other",9600,"Renewal"
"7594422285","1058778466","91805","CGIC","20140126","20150126",2,"SK",3,"Farm Structure","Other",2800,"Renewal"
"0917815302","4000230985","92069","CGIC","20141030","20150130",1,"SK",1,"Farm Structure","None",3700,"Policy Change"
"0917815302","4000230985","92069","CGIC","20141030","20150130",1,"SK",3,"Farm Structure","None",7200,"Policy Change"
"1411766479","1058795174","91055","CGIC","20140216","20150216",1,"SK",2,"Farm Structure","None",8800,"Renewal"
"1411766479","1058795174","91055","CGIC","20140216","20150216",1,"SK",5,"Farm Structure","Other",7400,"Renewal"
"1411766479","1058795174","91055","CGIC","20140216","20150216",1,"SK",4,"Farm Structure","None",6900,"Renewal"
"1411766479","1058795174","91055","CGIC","20140216","20150216",1,"SK",6,"Farm Structure","None",5400,"Renewal"
"4110126048","1058704757","91055","CGIC","20140311","20150311",1,"SK",6,"Farm Structure","None",4900,"Renewal"
"4110126048","1058704757","91055","CGIC","20140311","20150311",1,"SK",4,"Farm Structure","None",3600,"Renewal"
"4110126048","1058704757","91055","CGIC","20140311","20150311",1,"SK",5,"Farm Structure","None",4200,"Renewal"
"4407504900","1053552876","90809","CGIC","20140325","20150325",2,"SK",1,"Farm Structure","None",5400,"Policy Change"
"6517123596","1053554398","12021","CGIC","20140401","20150401",1,"AB",1,"Farm Structure","Other",5400,"Policy Change"
"0890946595","1053493440","91805","CGIC","20140412","20150412",2,"SK",1,"Farm Structure","None",2400,"Policy Change"
